window,model,seed,mse_log_rv,mae_log_rv,mse_rv,mae_rv,qlike_variance,directional_accuracy,period
571,LSTMX,2,0.08380958737765372,0.25779346997271196,0.00010864822066295673,0.009093941675062459,0.1812138491885189,0.75,last12
571,LSTMX,3,0.1026000169472272,0.27559054564331537,0.0001312060715481609,0.009707200738011944,0.22603260349809515,0.75,last12
571,LSTMX,4,0.08765930421361413,0.2717832532973492,0.00011419844310817242,0.009615276925857985,0.18978488232521817,0.75,last12
571,Persistence,0,0.1358592730807314,0.3249785707227574,0.0001684765433045209,0.011458272606714974,0.31362176784495416,0.16666666666666666,last12
571,QR1,0,0.0962490055582827,0.28162476409727216,0.0001244614919115889,0.009982888127330131,0.21012495125046401,0.75,last12
571,QR1,1,0.09639695205634434,0.28164345870359153,0.00012456207662792072,0.009957732885444713,0.21449288913640271,0.75,last12
571,QR1,2,0.09014940397453554,0.27244543572085694,0.00011589571581097331,0.009674788342125241,0.1922696089157326,0.75,last12
571,QR1,3,0.09462960254680737,0.2792124263179217,0.00012280564244190377,0.009886119862840713,0.2096629075976171,0.75,last12
571,QR1,4,0.09376798382370637,0.27869225410371906,0.00012128976933673441,0.009873555907346367,0.2061962401898418,0.75,last12
571,QR2,0,0.09358471096299452,0.2801096839876979,0.0001220504307194051,0.009968666137904083,0.20007594225484612,0.75,last12
571,QR2,1,0.08752168403947429,0.26957651563781093,0.00011339620963783953,0.009519815227717025,0.1927692088666433,0.75,last12
571,QR2,2,0.08624385531416905,0.2679211120414949,0.00011176435539629473,0.009527966224752634,0.1819215914454977,0.75,last12
571,QR2,3,0.08949153123438224,0.2735306914117483,0.00011562884391492243,0.009692086195468868,0.19401866850086388,0.75,last12
571,QR2,4,0.08769545418867684,0.2683778296677602,0.00011333544835240521,0.009495448881819376,0.19088994984083896,0.75,last12
